id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
565,1,22,1,4,1,3,1,1,4,4,1,3,2,4,1,4,2,4,2,2,1,2,3,2,3,4,1,4,2,3.571428571,2.857142857,1.2,1.875,-0.857966456,0.445358907,2.132717054,0.420326647
566,1,24,1,1,4,2,1,1,5,4,1,2,1,2,1,3,3,2,1,4,1,3,1,3,2,1,1,1,5,2,2.142857143,1,2.875,-1.587429979,-1.621459015,0.721814943,-1.016661711
569,1,24,4,4,3,2,3,1,5,4,1,4,3,3,2,4,2,4,2,3,4,4,2,4,4,4,4,3,5,3.142857143,3.428571429,2.4,3.75,0.36540842,-0.387829945,-1.030181949,1.846857828
570,1,24,2,2,3,4,1,2,5,5,1,1,3,4,2,3,2,5,1,2,4,4,4,2,4,1,3,4,5,4.285714286,1.857142857,1.4,3.625,-0.989556055,1.472549541,-0.777980391,-1.369888147
571,1,23,4,2,2,4,2,2,5,2,2,2,4,4,4,2,4,3,2,4,3,5,2,4,4,4,3,3,4,3.142857143,2.857142857,2.8,3.75,1.152259621,-0.022095738,-0.997817315,-0.071294879
572,1,23,1,2,1,2,2,1,2,3,1,2,1,2,1,3,2,3,4,3,2,2,1,3,2,3,1,2,5,2.142857143,2.428571429,1.8,2,-0.586970501,-1.505162737,1.789084172,-0.690859156
573,1,24,3,4,3,4,3,3,5,5,3,3,3,4,4,4,5,2,3,4,3,4,4,4,2,4,3,3,4,3.428571429,3.714285714,3.2,3.75,1.515732908,0.611414285,-0.748241461,1.293273006
574,1,28,3,3,5,1,3,1,4,3,1,3,5,1,3,4,4,3,1,1,4,4,1,3,1,4,5,1,5,1.571428571,2.714285714,2.2,4.5,0.235719075,-2.863413955,-2.30030988,0.629077519
575,1,43,3,3,1,1,1,1,1,3,2,2,1,4,3,3,2,2,1,2,1,4,1,4,2,4,1,5,2,2.571428571,2.714285714,2,1.625,0.297087634,-1.330248743,2.181090355,0.360850084
576,1,22,2,2,2,3,3,2,3,4,2,3,4,3,4,4,4,3,2,2,3,4,3,4,4,3,3,3,3,3.285714286,2.857142857,2.6,3.25,1.019228267,0.187940789,-0.212808971,0.285759388
580,1,20,4,1,4,2,1,2,4,4,5,3,4,5,3,3,5,2,4,4,4,3,3,2,2,5,5,3,3,3,2.857142857,3.4,4,2.233491546,-0.04577693,-1.482916014,-0.520943864
582,1,19,1,3,1,2,1,1,4,2,1,1,1,4,2,4,5,2,4,1,5,4,1,1,3,3,1,5,5,2.714285714,2,1.8,3.25,-0.420688329,-0.667673003,-0.278513162,-1.710902487
587,1,22,4,4,3,2,2,1,4,4,1,3,2,4,2,3,4,2,1,3,2,3,4,3,4,4,2,4,5,3.428571429,3,2,3.125,-0.135956625,0.091535383,0.150241738,0.71499041
589,1,20,3,3,1,3,1,4,5,3,2,2,3,5,3,3,3,2,1,3,4,3,4,3,2,3,2,3,4,3.142857143,3,2,3.125,-0.080993821,0.164787243,-0.009481813,-0.303407623
590,1,25,2,3,3,3,1,2,4,3,1,3,3,3,1,1,4,3,1,2,3,3,4,2,3,1,1,3,4,3.142857143,2,1.2,3.125,-0.80227592,-0.248233652,0.469613577,-1.306558108
591,1,20,5,4,3,5,4,4,5,5,5,4,5,5,4,4,5,5,3,4,4,5,5,5,3,5,4,4,3,4.571428571,4.285714286,4.2,4.25,3.211615432,2.308200015,-1.520713297,2.298908544
596,1,35,2,2,3,4,2,2,4,2,1,1,4,4,2,3,3,2,2,4,2,3,4,3,3,2,2,3,2,3.142857143,2.428571429,1.8,2.875,-0.041358212,0.020014838,0.386419427,-0.982611745
597,1,25,3,2,4,2,2,2,3,4,1,2,2,3,3,4,3,3,4,3,3,4,4,4,3,3,3,4,2,3.285714286,2.857142857,2.6,3,0.834039977,0.067939905,0.029854357,0.305151114
