"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","Check","FD","SD","UP","FW"
"ENG3.4",1,10,2,3,4,3,3,1,4,3,3,3,4,2,2,4,4,3,3,3,4,4,2,4,2,4,4,4,4,9,2.6,3.14285714285714,4,2.71428571428571
"ENG3.4",1,11,2,2,4,4,2,2,4,4,2,2,2,4,2,2,4,4,2,2,2,2,4,2,4,2,2,4,4,9,2,2,3,4
"ENG3.4",1,16,3,4,3,4,2,2,4,4,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,3,4,3,9,2.8,3.57142857142857,3.125,3.71428571428571
"ENG3.4",2,26,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,4,2,3,4,3,4,3,4,3,9,3,3.57142857142857,3.125,3.28571428571429
"ENG3.4",2,13,4,2,4,3,2,4,2,4,4,2,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3,4,2,9,3.4,3.14285714285714,3.125,3.28571428571429
"ENG3.4",1,10,4,3,4,3,4,4,4,4,3,4,4,5,4,3,4,3,4,4,4,4,3,4,3,4,3,4,4,9,3.8,3.71428571428571,3.875,3.57142857142857
"ENG3.4",2,6,2,3,3,4,1,2,4,3,2,3,4,4,1,3,4,5,2,3,3,3,5,3,3,4,3,4,4,9,1.6,3,3.5,4
"ENG3.4",1,46,1,1,1,5,1,4,5,4,1,1,1,4,1,1,5,3,3,1,2,1,5,4,4,4,2,3,5,9,1.4,2.28571428571429,2.75,4
"ENG3.4",1,9,2,4,4,4,2,2,5,4,2,4,5,5,2,4,4,4,4,2,4,4,3,5,4,3,3,5,4,9,2.4,3.42857142857143,4.125,4.14285714285714
"ENG3.4",1,17,2,4,4,3,2,3,3,4,2,2,4,4,2,4,2,3,2,4,3,4,4,3,3,4,4,4,4,9,2,3.42857142857143,3.5,3.57142857142857
"ENG3.4",2,44,2,4,2,4,2,2,4,4,2,2,2,4,2,2,4,4,2,2,2,2,4,3,4,2,2,4,4,9,2,2.42857142857143,2.75,4
"ENG3.4",1,12,2,4,5,2,2,2,4,4,2,2,5,4,3,4,5,3,2,3,4,5,4,3,3,4,4,3,4,9,2.2,3.14285714285714,4.5,3.28571428571429
"ENG3.4",2,7,2,5,2,4,2,2,4,5,2,4,3,5,3,5,3,5,3,4,2,1,3,5,5,5,2,5,4,9,2.4,4.28571428571429,2.625,4.57142857142857
"ENG3.4",1,11,3,4,4,4,2,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,9,2.8,4,3.625,3.71428571428571
"ENG3.4",2,27,1,3,1,5,1,3,5,5,1,1,1,4,1,1,2,5,1,1,1,1,5,2,5,3,1,5,5,9,1,2,2.125,4.85714285714286
"ENG3.4",1,11,2,4,5,4,2,2,5,5,2,2,2,4,4,3,4,5,2,4,4,2,5,4,5,4,4,1,5,9,2.4,3.28571428571429,3.875,4.14285714285714
"ENG3.4",2,35,2,4,4,4,2,2,2,5,4,4,4,2,2,4,5,4,4,4,4,4,4,2,4,4,4,2,2,9,2.8,3.42857142857143,3.625,3.57142857142857
"ENG3.4",1,18,4,3,3,5,5,5,4,5,4,3,4,4,3,4,5,5,3,4,4,5,4,4,5,3,4,4,4,9,3.8,3.71428571428571,4.125,4.57142857142857
"ENG3.4",2,9,3,2,4,2,2,2,4,4,4,2,4,2,4,4,5,4,4,2,3,4,2,4,2,3,4,2,4,9,3.4,2.71428571428571,4,2.57142857142857
"ENG3.4",1,54,2,2,5,3,2,2,4,5,1,2,4,1,3,3,4,4,3,3,3,4,5,3,2,3,4,2,4,9,2.2,2.57142857142857,4,3.14285714285714
"ENG3.4",1,8,2,3,4,2,2,3,4,4,2,2,4,4,3,2,4,4,3,2,4,4,3,2,4,3,4,4,4,9,2.4,2.42857142857143,4,3.57142857142857
"ENG3.4",2,10,4,3,3,4,4,4,4,3,4,4,3,4,4,3,3,3,4,4,3,3,4,4,4,3,4,3,4,9,4,3.57142857142857,3.375,3.57142857142857
"ENG3.4",1,31,1,3,4,4,2,2,4,4,2,3,3,4,2,3,4,4,1,3,3,4,4,4,2,3,3,3,4,9,1.6,3,3.625,3.57142857142857
"ENG3.4",2,35,2,4,2,4,2,2,4,4,2,4,2,4,3,3,4,4,2,4,4,3,4,4,4,3,2,4,4,9,2.2,3.42857142857143,3.125,4
"ENG3.4",1,46,1,4,2,5,2,1,5,5,1,3,3,5,2,2,2,5,1,2,4,1,5,4,5,2,3,4,5,9,1.4,2.57142857142857,3.125,4.85714285714286
"ENG3.4",2,18,3,5,4,4,4,4,4,4,4,3,4,2,4,3,4,3,5,4,4,4,2,3,3,4,4,3,3,9,4,3.71428571428571,3.875,3
"ENG3.4",1,30,4,4,4,5,5,1,1,5,4,5,4,1,4,5,5,5,3,5,1,5,5,5,5,5,5,4,1,9,4,4.28571428571429,3.25,4.28571428571429
"ENG3.4",1,17,3,4,5,2,3,4,4,5,3,4,4,5,4,5,5,4,3,4,4,4,2,5,4,4,4,4,4,9,3.2,4.28571428571429,4.25,3.71428571428571
"ENG3.4",2,23,3,4,4,4,2,3,4,4,3,3,3,4,3,4,3,4,3,3,3,3,3,3,4,3,3,4,4,9,2.8,3.28571428571429,3.375,3.85714285714286
"ENG3.4",1,33,1,1,1,4,1,1,3,4,1,1,4,5,1,2,4,4,3,2,3,1,3,2,4,2,1,5,4,9,1.4,1.57142857142857,2.625,4.14285714285714
"ENG3.4",1,24,2,2,2,5,1,2,5,5,1,2,5,5,5,1,4,5,1,1,1,2,5,2,5,4,1,4,5,9,2,2,3.125,4.85714285714286
"ENG3.4",1,14,5,4,5,4,4,5,5,4,4,4,5,4,5,4,5,4,4,5,5,4,5,4,4,5,5,5,4,9,4.4,4.42857142857143,4.75,4.28571428571429
"ENG3.4",2,7,4,4,2,2,4,4,2,3,4,4,3,3,3,4,2,3,4,4,2,2,2,4,3,4,2,2,2,9,3.8,4,2.125,2.57142857142857
"ENG3.4",2,10,3,4,3,4,2,4,4,4,3,2,4,3,2,3,2,4,2,4,3,4,4,5,4,4,2,3,4,9,2.4,3.71428571428571,3.25,3.71428571428571
"ENG3.4",1,54,2,4,4,4,2,2,4,4,3,2,2,5,2,4,4,4,2,2,2,3,4,4,4,4,2,5,4,9,2.2,3.14285714285714,3.125,4.28571428571429
"ENG3.4",1,22,1,1,3,5,1,1,3,5,1,3,3,5,1,1,3,5,1,3,3,1,5,1,5,1,1,5,5,9,1,1.57142857142857,2.75,5
"ENG3.4",2,21,2,4,2,5,2,1,3,5,2,2,2,4,2,2,4,5,1,3,2,2,5,2,5,2,2,5,4,9,1.8,2.28571428571429,2.625,4.85714285714286
"ENG3.4",1,12,2,4,4,4,2,1,4,5,3,2,3,5,2,4,2,4,3,4,2,2,4,4,2,4,2,2,2,9,2.4,3.28571428571429,2.625,3.71428571428571
"ENG3.4",2,18,2,3,3,5,2,3,2,5,3,2,3,4,2,4,4,5,4,4,3,3,3,4,4,4,3,5,3,9,2.6,3.42857142857143,3,4.42857142857143
"ENG3.4",1,18,4,4,4,4,3,3,4,4,4,4,2,3,3,4,4,4,3,4,4,4,4,4,4,4,3,4,2,9,3.4,3.85714285714286,3.375,3.85714285714286
"ENG3.4",2,55,2,4,3,2,2,2,4,4,2,4,4,4,2,4,4,4,3,2,4,4,4,4,2,4,2,4,5,9,2.2,3.42857142857143,3.75,3.42857142857143
"ENG3.4",1,18,1,2,3,3,2,4,4,4,1,2,2,3,2,4,4,3,2,2,2,3,3,4,3,4,2,4,4,9,1.6,3.14285714285714,3,3.28571428571429
"ENG3.4",1,13,5,4,5,5,5,3,3,5,4,2,3,5,2,3,2,2,2,1,4,5,2,2,4,1,5,4,5,9,3.6,2.28571428571429,4,3.85714285714286
"ENG3.4",2,13,4,1,3,5,1,1,5,5,4,1,4,5,1,1,5,5,1,1,4,1,5,1,5,1,1,5,4,9,2.2,1,3.375,5
"ENG3.4",1,44,1,4,2,2,2,1,3,4,1,2,4,3,2,4,4,3,1,3,2,2,2,4,2,4,3,2,3,9,1.4,3.14285714285714,2.875,2.57142857142857
"ENG3.4",1,44,1,1,2,4,3,4,2,4,1,3,1,2,2,5,2,2,1,2,1,1,4,4,3,3,2,4,2,9,1.6,3.14285714285714,1.625,3.28571428571429
"ENG3.4",2,17,2,4,4,4,1,3,4,4,3,2,4,5,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,9,2.8,3.28571428571429,3.75,4.14285714285714
"ENG3.4",2,10,2,2,4,4,2,1,5,5,2,2,4,4,4,3,4,5,3,2,4,3,4,3,4,3,3,4,3,9,2.6,2.28571428571429,3.75,4.28571428571429
"ENG3.4",2,43,3,3,4,2,3,3,4,3,4,4,4,2,3,4,4,2,4,4,3,5,2,2,2,3,3,2,3,9,3.4,3.28571428571429,3.75,2.14285714285714
"ENG3.4",2,24,2,3,4,4,4,3,3,5,3,1,4,4,4,4,5,5,3,4,4,4,4,3,2,4,4,4,4,9,3.2,3.14285714285714,4,4
"ENG3.4",2,20,2,2,3,4,2,2,4,4,2,2,2,4,2,2,4,4,2,2,2,2,4,3,4,3,2,4,4,9,2,2.28571428571429,2.875,4
"ENG3.4",2,10,2,2,3,2,2,1,5,5,1,2,4,3,3,4,4,4,3,4,4,4,4,2,5,3,2,4,4,9,2.2,2.57142857142857,3.75,3.85714285714286
"ENG3.4",1,10,5,4,5,4,4,5,4,5,4,5,5,4,4,5,3,4,5,4,4,4,4,4,4,4,5,4,3,9,4.4,4.42857142857143,4.125,4.14285714285714
"ENG3.4",2,34,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,4,4,3,4,9,4,3.85714285714286,3.875,3.28571428571429
"ENG3.4",2,30,1,3,2,5,1,1,3,5,3,3,3,5,1,5,4,5,3,5,2,3,5,3,5,3,2,5,5,9,1.8,3.28571428571429,3,5
"ENG3.4",2,15,2,4,4,3,3,4,4,4,3,4,4,4,2,5,4,3,4,4,4,4,2,3,5,4,4,2,4,9,2.8,4,4,3.28571428571429
"ENG3.4",2,17,4,2,3,5,3,1,3,5,4,2,3,5,2,2,5,5,2,2,3,2,4,3,5,2,3,4,4,9,3,2,3.25,4.71428571428571
"ENG3.4",1,11,4,4,4,5,5,4,4,4,4,4,5,5,4,4,2,4,4,4,3,4,5,5,5,5,4,4,4,9,4.2,4.28571428571429,3.75,4.57142857142857
"ENG3.4",2,6,1,1,4,5,1,1,5,5,1,1,4,5,5,2,4,5,2,1,4,1,5,1,5,1,1,5,5,9,2,1.14285714285714,3.5,5
"ENG3.4",2,30,2,4,4,4,3,2,4,4,3,3,4,4,3,3,4,4,3,3,4,1,4,4,4,3,3,4,4,9,2.8,3.14285714285714,3.5,4
"ENG3.4",1,31,3,2,2,5,2,2,4,5,3,3,2,4,2,3,2,5,3,4,2,3,4,3,5,3,2,4,4,9,2.6,2.85714285714286,2.625,4.57142857142857
"ENG3.4",1,8,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,4,4,4,4,4,4,4,4,9,3.6,3.71428571428571,4,4
"ENG3.4",1,11,4,5,4,4,3,4,3,2,2,4,3,4,3,4,4,4,4,4,2,4,4,4,3,2,3,4,4,9,3.2,3.85714285714286,3.375,3.57142857142857
"ENG3.4",1,19,2,2,1,4,2,2,4,5,1,2,1,4,1,2,3,4,1,2,1,1,5,4,4,2,2,4,3,9,1.4,2.28571428571429,2,4.28571428571429
"ENG3.4",2,11,5,4,4,5,4,5,4,4,4,3,4,3,4,5,5,5,5,5,4,5,5,5,3,4,5,4,4,9,4.4,4.42857142857143,4.375,4.14285714285714
"ENG3.4",1,43,1,1,2,5,1,1,4,5,1,2,1,4,2,2,5,5,1,2,2,1,4,1,4,2,2,4,4,9,1.2,1.57142857142857,2.625,4.42857142857143
"ENG3.4",1,12,2,3,3,3,2,3,2,3,2,3,2,2,2,3,3,4,1,3,2,4,4,3,3,3,2,1,3,9,1.8,3,2.625,2.85714285714286
"ENG3.4",1,45,2,2,2,4,2,2,3,4,3,3,4,3,2,3,4,4,3,2,3,2,2,2,4,3,3,2,3,9,2.4,2.42857142857143,3,3.28571428571429
"ENG3.4",2,46,2,3,2,2,2,2,3,4,2,3,4,2,2,4,2,3,2,4,2,4,2,4,2,3,3,2,3,9,2,3.28571428571429,2.875,2.42857142857143
"ENG3.4",1,28,3,2,3,4,2,2,4,4,3,2,2,4,2,2,2,5,3,2,2,3,3,2,4,3,4,4,4,9,2.6,2.14285714285714,3,4
"ENG3.4",2,13,3,4,3,4,3,3,3,4,4,3,4,4,3,3,4,4,2,3,3,4,3,4,4,4,3,3,3,9,3,3.42857142857143,3.375,3.71428571428571
"ENG3.4",1,14,3,4,4,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,3,4,4,2,2,2,2,3,4,9,2.8,2.42857142857143,3.125,2.57142857142857
"ENG3.4",2,23,5,4,4,4,5,4,4,5,5,4,5,5,4,4,3,4,4,3,3,4,4,4,5,4,5,5,4,9,4.6,3.85714285714286,4,4.57142857142857
"ENG3.4",1,12,1,2,5,5,4,1,5,5,1,2,5,4,1,2,5,5,2,3,5,4,4,4,5,1,4,4,5,9,1.8,2.14285714285714,4.75,4.57142857142857
"ENG3.4",1,17,3,3,3,3,2,3,4,4,2,3,2,4,2,3,2,4,4,3,3,2,4,3,4,4,3,4,4,9,2.6,3.14285714285714,2.875,3.85714285714286
"ENG3.4",2,23,2,3,2,4,2,2,4,4,2,2,2,3,2,3,4,4,2,2,2,3,4,3,4,3,2,4,4,9,2,2.57142857142857,2.875,3.85714285714286
"ENG3.4",1,8,3,4,4,2,3,3,4,4,4,4,3,3,2,4,3,3,4,4,4,4,4,2,3,4,4,3,2,9,3.2,3.57142857142857,3.5,3.14285714285714
"ENG3.4",1,24,2,3,4,4,2,4,3,4,2,2,2,4,2,2,4,4,3,2,3,4,3,2,4,2,3,4,4,9,2.2,2.42857142857143,3.375,3.85714285714286
"ENG3.4",2,9,4,4,4,5,1,3,5,5,3,2,4,4,5,4,5,5,4,4,4,4,5,4,4,2,5,4,2,9,3.4,3.28571428571429,4.125,4.57142857142857
"ENG3.4",2,15,3,3,2,4,2,2,3,4,3,2,3,4,2,2,3,4,2,2,3,3,3,3,2,2,2,3,3,9,2.4,2.28571428571429,2.75,3.42857142857143
"ENG3.4",1,30,2,4,3,3,2,2,4,4,3,4,2,4,4,4,4,4,2,3,4,4,2,4,3,4,3,4,4,9,2.6,3.57142857142857,3.5,3.42857142857143
"ENG3.4",1,15,2,3,4,3,2,3,3,4,3,3,3,4,3,3,2,3,3,3,4,3,4,3,2,3,4,4,4,9,2.6,3,3.375,3.42857142857143
"ENG3.4",1,10,4,3,4,4,2,4,3,2,3,4,4,2,4,4,3,2,4,3,4,4,4,4,4,4,3,4,4,9,3.4,3.71428571428571,3.625,3.14285714285714
"ENG3.4",2,17,4,4,3,4,4,4,5,5,5,4,4,5,4,4,4,4,5,5,4,4,5,3,4,4,5,4,4,9,4.4,4,4.125,4.42857142857143
"ENG3.4",2,15,2,4,3,4,4,3,5,2,2,2,4,4,3,4,4,3,5,3,5,2,2,4,4,5,2,4,5,9,3.2,3.57142857142857,3.75,3.28571428571429
"ENG3.4",1,28,2,3,3,4,2,2,3,4,2,3,2,3,3,2,2,4,2,2,2,4,3,3,4,4,3,2,2,9,2.2,2.71428571428571,2.625,3.42857142857143
"ENG3.4",2,22,2,3,3,3,2,3,2,3,3,3,2,4,2,4,2,2,3,4,2,3,3,4,3,4,3,4,2,9,2.4,3.57142857142857,2.375,3.14285714285714
"ENG3.4",1,11,4,5,4,4,3,4,4,3,5,5,4,4,3,4,3,3,3,4,4,4,5,4,2,3,5,4,3,9,3.6,4.14285714285714,3.875,3.57142857142857
"ENG3.4",2,22,2,2,4,4,2,4,4,4,2,2,2,4,2,2,4,4,2,3,2,2,4,4,4,4,2,4,4,9,2,3,3,4
"ENG3.4",1,12,2,4,4,4,4,3,4,3,2,3,3,4,4,4,4,5,3,4,4,4,5,4,2,4,4,4,4,9,3,3.71428571428571,3.875,3.85714285714286
"ENG3.4",2,24,3,4,2,4,2,3,4,4,3,2,3,4,3,4,4,4,3,4,3,2,5,3,4,3,3,4,4,9,2.8,3.28571428571429,3.125,4.14285714285714
"ENG3.4",2,48,2,4,4,4,2,4,4,5,2,2,4,4,2,4,4,4,3,2,4,3,4,2,4,2,4,4,3,9,2.2,2.85714285714286,3.75,4.14285714285714
"ENG3.4",2,22,2,2,2,4,2,2,4,4,2,2,2,4,2,2,4,4,2,3,4,4,4,2,4,2,2,4,4,9,2,2.14285714285714,3.25,4
"ENG3.4",2,37,3,4,2,4,2,2,2,5,4,4,2,4,2,3,5,4,5,4,2,4,4,4,2,4,2,2,4,9,3.2,3.57142857142857,2.875,3.57142857142857
"ENG3.4",2,12,4,4,4,5,4,3,3,5,4,4,3,3,4,4,5,5,3,3,4,4,4,4,5,4,3,5,4,9,3.8,3.71428571428571,3.75,4.57142857142857
"ENG3.4",1,15,2,3,3,4,2,3,3,4,2,2,2,4,2,4,2,4,2,3,2,3,4,3,4,2,2,4,3,9,2,2.85714285714286,2.5,4
"ENG3.4",2,49,1,2,4,3,1,2,4,5,1,2,2,4,2,4,4,4,3,3,2,3,4,3,4,2,3,4,5,9,1.6,2.57142857142857,3.375,4
"ENG3.4",1,56,2,4,4,3,2,3,4,4,2,4,4,4,2,4,4,4,3,4,4,4,3,3,4,3,4,4,4,9,2.2,3.57142857142857,4,3.71428571428571
"ENG3.4",2,41,2,3,3,4,2,2,4,5,3,2,4,4,2,3,4,5,3,2,3,3,4,3,4,3,3,4,4,9,2.4,2.57142857142857,3.5,4.28571428571429
"ENG3.4",2,11,3,3,4,4,2,4,4,5,4,3,4,5,4,3,5,5,4,3,4,4,5,2,5,1,4,4,4,9,3.4,2.71428571428571,4.125,4.71428571428571
"ENG3.4",1,14,1,2,2,5,1,3,4,5,1,3,1,5,1,4,1,5,1,3,2,2,5,1,5,4,1,5,3,9,1,2.85714285714286,2,5
"ENG3.4",1,17,2,4,4,2,3,2,4,4,3,2,4,3,2,4,4,5,4,4,4,2,2,4,2,4,3,4,4,9,2.8,3.42857142857143,3.625,3.14285714285714
"ENG3.4",1,21,1,2,4,5,1,2,5,5,1,2,4,5,5,1,5,5,3,2,4,5,5,2,5,2,4,5,5,9,2.2,1.85714285714286,4.5,5
"ENG3.4",1,13,1,3,5,5,1,1,5,4,1,1,5,5,1,2,5,4,1,5,5,4,5,4,2,2,5,4,5,9,1,2.57142857142857,4.875,4.14285714285714
"ENG3.4",1,15,4,4,4,4,4,4,4,4,3,4,4,5,4,3,5,4,4,4,5,4,4,2,4,2,4,3,5,9,3.8,3.28571428571429,4.375,4
"ENG3.4",2,23,2,4,4,4,3,4,4,4,3,4,4,4,4,2,4,4,2,4,4,4,2,4,4,3,4,3,3,9,2.8,3.57142857142857,3.875,3.57142857142857
"ENG3.4",2,16,4,3,4,5,5,4,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,3,4,3,4,4,9,4.2,3.71428571428571,3.875,4
"ENG3.4",2,9,2,3,2,4,2,2,4,4,2,2,2,5,2,4,2,4,2,3,2,2,3,3,4,2,2,4,2,9,2,2.71428571428571,2.25,4
"ENG3.4",2,18,2,3,4,4,2,3,4,4,2,3,2,4,2,4,4,4,2,2,2,2,4,3,4,4,2,4,4,9,2,3.14285714285714,3,4
"ENG3.4",1,17,5,4,5,5,5,4,5,4,4,5,4,5,4,5,4,4,4,5,4,4,5,5,4,4,4,4,4,9,4.4,4.57142857142857,4.25,4.42857142857143
"ENG3.4",1,8,1,3,2,4,1,2,2,4,1,2,2,4,2,5,3,4,1,3,2,3,4,4,4,4,3,3,4,9,1.2,3.28571428571429,2.625,3.85714285714286
"ENG3.4",2,19,4,4,3,3,4,5,4,5,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,9,4,4.28571428571429,4,4.14285714285714
"ENG3.4",2,14,1,3,3,3,2,2,4,4,1,2,3,3,1,3,4,3,1,2,3,3,4,3,2,3,3,3,5,9,1.2,2.57142857142857,3.5,3.14285714285714
"ENG3.4",1,30,2,4,4,2,2,2,4,3,1,3,4,3,4,3,4,2,4,5,4,4,2,4,2,2,4,2,4,9,2.6,3.28571428571429,4,2.28571428571429
"ENG3.4",1,8,3,3,2,4,3,4,5,2,4,2,3,2,4,3,5,4,3,4,4,3,4,2,4,3,3,2,5,9,3.4,3,3.75,3.14285714285714
"ENG3.4",1,13,2,4,2,4,2,2,2,4,4,2,4,1,5,5,2,5,5,4,2,1,5,2,2,2,4,2,5,9,3.6,3,2.75,3.28571428571429
"ENG3.4",2,20,1,1,2,4,1,1,1,5,1,2,3,1,1,1,2,4,3,4,2,3,3,4,5,3,3,5,2,9,1.4,2.28571428571429,2.25,3.85714285714286
"ENG3.4",1,50,1,2,4,5,3,1,1,5,1,1,2,1,3,1,3,5,1,3,2,4,5,2,4,1,3,3,2,9,1.8,1.57142857142857,2.625,4
"ENG3.4",1,15,3,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,5,4,4,4,4,5,3,5,4,4,9,4,4,4.125,4.42857142857143
"ENG3.4",2,8,1,1,1,4,1,3,3,4,2,1,3,4,2,4,2,4,2,2,4,2,4,1,4,1,1,4,4,9,1.6,1.85714285714286,2.5,4
"ENG3.4",2,12,4,4,4,4,5,5,3,4,4,5,4,5,4,4,2,3,4,5,4,5,5,2,5,4,5,4,4,9,4.2,4.14285714285714,3.875,4.28571428571429
"ENG3.4",2,15,2,2,1,4,1,2,2,4,4,1,1,5,1,4,5,4,2,2,2,1,4,2,2,2,1,5,2,9,2,2.14285714285714,1.875,4
"ENG3.4",2,11,3,3,4,4,2,2,4,5,3,2,4,4,4,4,3,5,4,2,4,2,4,3,4,4,3,4,4,9,3.2,2.85714285714286,3.5,4.28571428571429
"ENG3.4",2,8,2,4,4,4,4,4,4,4,2,4,4,3,2,4,4,4,2,4,4,4,4,2,4,4,4,2,4,9,2.4,3.71428571428571,4,3.57142857142857
"ENG3.4",2,33,2,4,3,2,2,4,4,4,4,2,3,4,4,4,4,4,4,4,2,4,2,4,3,2,2,2,4,9,3.2,3.42857142857143,3.25,3
"ENG3.4",2,11,4,4,4,5,4,4,4,4,4,4,2,4,4,5,2,4,2,4,4,4,5,4,4,5,4,4,2,9,3.6,4.28571428571429,3.25,4.28571428571429
"ENG3.4",1,10,3,4,3,3,5,3,5,3,4,4,4,4,5,4,4,4,5,4,3,5,4,5,2,3,4,4,4,9,4.4,3.85714285714286,4,3.42857142857143
"ENG3.4",1,22,2,5,4,2,4,2,5,4,3,4,5,4,4,5,5,5,5,5,4,4,2,2,4,3,4,4,2,9,3.6,3.71428571428571,4.125,3.57142857142857
"ENG3.4",1,28,2,4,2,4,2,1,2,5,2,2,2,4,4,4,5,5,2,4,2,4,4,4,5,4,2,4,2,9,2.4,3.28571428571429,2.625,4.42857142857143
"ENG3.4",1,13,2,2,2,4,2,2,4,4,2,2,4,4,2,4,4,4,2,4,4,2,2,4,4,2,2,2,4,9,2,2.85714285714286,3.25,3.42857142857143
"ENG3.4",1,13,2,3,3,4,3,4,3,2,3,4,2,4,3,3,4,3,2,3,4,3,4,4,3,4,2,4,2,9,2.6,3.57142857142857,2.875,3.42857142857143
"ENG3.4",1,24,1,2,1,5,1,2,4,5,1,1,5,5,5,2,4,5,1,2,4,4,5,2,5,4,5,5,5,9,1.8,2.14285714285714,4,5
"ENG3.4",1,14,1,4,1,2,2,2,5,5,1,1,3,4,2,2,2,3,2,3,4,3,2,1,2,1,2,4,4,9,1.6,2,3,3.14285714285714
"ENG3.4",1,22,2,2,4,4,2,2,4,4,2,2,4,2,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,9,2.4,2.28571428571429,4,3.71428571428571
"ENG3.4",1,18,2,3,2,4,2,2,4,4,2,3,3,4,2,3,4,4,3,3,3,3,4,2,4,3,3,3,4,9,2.2,2.71428571428571,3.25,3.85714285714286
"ENG3.4",1,17,2,4,4,2,3,1,4,5,3,2,2,4,3,4,5,5,3,4,3,4,4,2,4,3,3,5,3,9,2.8,2.85714285714286,3.5,4.14285714285714
"ENG3.4",2,37,2,2,2,4,3,2,3,5,2,4,2,4,3,2,4,5,4,3,2,2,4,2,4,2,2,4,4,9,2.8,2.42857142857143,2.625,4.28571428571429
"ENG3.4",1,13,2,4,4,4,2,3,4,4,2,2,4,2,2,4,4,4,2,4,5,4,4,4,4,3,4,3,4,9,2,3.42857142857143,4.125,3.57142857142857
"ENG3.4",1,17,2,3,3,4,2,4,2,4,1,3,4,3,3,3,4,4,4,2,4,4,4,5,3,4,3,2,4,9,2.4,3.42857142857143,3.5,3.42857142857143
"ENG3.4",1,19,4,1,4,4,4,1,5,4,4,3,4,4,2,2,5,4,4,2,4,4,4,5,4,2,4,5,2,9,3.6,2.28571428571429,4,4.14285714285714
"ENG3.4",1,7,2,4,4,4,2,4,4,5,2,2,3,3,4,2,3,4,2,3,4,3,4,3,4,2,3,4,3,9,2.4,2.85714285714286,3.375,4
"ENG3.4",1,51,1,2,2,3,1,3,5,5,1,1,2,4,1,3,5,4,3,1,2,3,5,2,3,2,2,2,5,9,1.4,2,3.25,3.71428571428571
"ENG3.4",2,46,4,4,3,2,4,2,4,3,4,3,4,2,4,4,3,3,4,3,2,4,3,3,3,3,3,4,3,9,4,3.14285714285714,3.25,2.85714285714286
"ENG3.4",1,22,4,3,4,3,4,2,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,9,4,3.28571428571429,4,3.28571428571429
"ENG3.4",2,23,1,3,4,4,1,2,4,5,2,2,4,4,1,4,2,5,1,2,4,4,4,2,5,2,4,4,4,9,1.2,2.42857142857143,3.75,4.42857142857143
"ENG3.4",1,15,1,1,2,5,1,1,5,4,1,1,2,4,1,3,2,4,2,2,2,2,5,2,4,2,2,4,5,9,1.2,1.71428571428571,2.75,4.28571428571429
"ENG3.4",1,17,2,2,4,4,2,1,4,4,2,2,4,4,2,3,4,4,4,4,4,4,3,4,3,4,4,3,4,9,2.4,2.85714285714286,4,3.57142857142857
"ENG3.4",1,16,1,2,4,2,2,2,4,4,1,1,4,2,4,3,4,2,2,3,4,4,1,2,2,2,4,4,4,9,2,2.14285714285714,4,2.42857142857143
"ENG3.4",1,NA,2,3,4,3,2,3,4,4,2,3,4,4,3,3,4,4,3,3,3,4,4,3,4,3,2,3,4,9,2.4,3,3.625,3.71428571428571
"ENG3.4",2,15,1,3,4,2,2,3,4,3,1,3,4,3,3,4,4,3,3,2,4,4,2,4,2,3,4,4,4,9,2,3.14285714285714,4,2.71428571428571
"ENG3.4",1,20,2,2,3,2,2,2,4,4,3,3,4,3,2,4,4,2,3,2,2,3,2,4,2,3,3,2,4,9,2.4,2.85714285714286,3.375,2.42857142857143
"ENG3.4",1,24,2,2,4,4,2,1,4,5,3,2,4,4,5,3,4,4,2,4,4,1,5,5,4,4,2,4,4,9,2.8,3,3.375,4.28571428571429
"ENG3.4",1,25,1,3,4,3,2,3,4,3,2,2,3,3,2,5,4,3,1,4,3,4,4,3,2,4,3,3,3,9,1.6,3.42857142857143,3.5,3
"ENG3.4",2,10,1,2,4,2,2,1,3,4,1,2,3,2,2,4,4,2,2,3,2,4,1,2,1,4,2,2,4,9,1.6,2.57142857142857,3.25,2
"ENG3.4",1,18,1,2,4,1,1,1,5,4,1,2,2,3,1,3,4,3,2,4,2,4,1,3,2,2,2,2,2,9,1.2,2.42857142857143,3.125,2.28571428571429
