V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
561,1,23,3,2,3,3,2,2,4,2,2,1,3,4,2,3,3,2,3,3,3,3,3,2,2,3,2,3,4
562,1,32,3,4,4,2,2,1,5,5,1,4,3,2,3,4,2,4,2,4,2,4,4,4,2,4,2,2,4
564,1,26,3,2,3,4,2,1,5,5,2,2,3,4,4,4,3,3,2,3,3,4,4,4,4,5,3,4,4
565,1,22,1,4,1,3,1,1,4,4,1,3,2,4,1,4,2,4,2,2,1,2,3,2,3,4,1,4,2
566,1,24,1,1,4,2,1,1,5,4,1,2,1,2,1,3,3,2,1,4,1,3,1,3,2,1,1,1,5
569,1,24,4,4,3,2,3,1,5,4,1,4,3,3,2,4,2,4,2,3,4,4,2,4,4,4,4,3,5
570,1,24,2,2,3,4,1,2,5,5,1,1,3,4,2,3,2,5,1,2,4,4,4,2,4,1,3,4,5
571,1,23,4,2,2,4,2,2,5,2,2,2,4,4,4,2,4,3,2,4,3,5,2,4,4,4,3,3,4
572,1,23,1,2,1,2,2,1,2,3,1,2,1,2,1,3,2,3,4,3,2,2,1,3,2,3,1,2,5
573,1,24,3,4,3,4,3,3,5,5,3,3,3,4,4,4,5,2,3,4,3,4,4,4,2,4,3,3,4
574,1,28,3,3,5,1,3,1,4,3,1,3,5,1,3,4,4,3,1,1,4,4,1,3,1,4,5,1,5
575,1,43,3,3,1,1,1,1,1,3,2,2,1,4,3,3,2,2,1,2,1,4,1,4,2,4,1,5,2
576,1,22,2,2,2,3,3,2,3,4,2,3,4,3,4,4,4,3,2,2,3,4,3,4,4,3,3,3,3
580,1,20,4,1,4,2,1,2,4,4,5,3,4,5,3,3,5,2,4,4,4,3,3,2,2,5,5,3,3
582,1,19,1,3,1,2,1,1,4,2,1,1,1,4,2,4,5,2,4,1,5,4,1,1,3,3,1,5,5
587,1,22,4,4,3,2,2,1,4,4,1,3,2,4,2,3,4,2,1,3,2,3,4,3,4,4,2,4,5
589,1,20,3,3,1,3,1,4,5,3,2,2,3,5,3,3,3,2,1,3,4,3,4,3,2,3,2,3,4
590,1,25,2,3,3,3,1,2,4,3,1,3,3,3,1,1,4,3,1,2,3,3,4,2,3,1,1,3,4
591,1,20,5,4,3,5,4,4,5,5,5,4,5,5,4,4,5,5,3,4,4,5,5,5,3,5,4,4,3
596,1,35,2,2,3,4,2,2,4,2,1,1,4,4,2,3,3,2,2,4,2,3,4,3,3,2,2,3,2
597,1,25,3,2,4,2,2,2,3,4,1,2,2,3,3,4,3,3,4,3,3,4,4,4,3,3,3,4,2
599,1,22,1,1,4,3,1,1,5,3,1,1,4,3,1,3,5,3,2,2,4,4,2,3,3,2,2,2,2
600,1,19,1,3,3,3,1,4,5,5,1,1,4,4,1,3,3,4,1,3,4,3,3,3,3,3,2,3,1
603,1,19,3,1,4,1,1,1,5,3,1,1,5,5,1,2,4,3,1,3,5,5,4,5,1,3,4,3,5
605,1,22,1,2,1,2,1,3,4,2,1,2,1,2,1,1,4,3,1,1,1,4,2,1,1,4,1,1,5
606,1,26,3,4,3,2,2,2,3,4,1,4,4,3,2,4,4,3,1,3,4,3,3,3,3,4,3,2,4
607,1,21,3,5,2,4,2,3,4,4,2,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,4,3,5
608,1,22,4,1,2,3,1,2,5,2,3,1,3,4,2,1,3,3,3,3,2,2,2,3,2,2,2,3,2
610,1,23,2,3,3,2,1,1,5,4,1,2,3,5,3,3,3,4,4,2,3,3,4,3,4,4,2,3,5
612,1,23,1,2,1,2,1,1,5,1,1,1,1,4,1,2,2,4,2,4,3,2,2,3,3,3,1,2,5
613,1,26,4,1,1,4,2,3,1,5,1,1,1,4,1,2,1,4,1,2,1,1,1,3,1,3,1,4,2
615,1,25,1,2,4,2,1,1,5,5,1,1,4,4,5,4,4,3,1,2,4,3,2,1,2,1,4,4,5
616,1,23,2,2,1,4,2,1,5,3,2,4,2,3,3,3,4,4,1,4,1,2,2,3,3,4,2,4,3
617,1,23,1,3,2,3,2,2,3,4,1,2,1,3,1,2,2,3,1,2,1,1,3,2,2,3,1,3,5
618,1,21,1,2,3,1,3,1,4,2,2,1,3,1,2,4,3,2,1,1,4,3,1,4,2,3,2,1,5
619,1,25,3,4,3,5,3,2,5,4,3,3,4,5,5,3,4,4,3,4,4,4,3,3,3,4,4,3,4
620,1,23,3,4,2,4,2,2,4,4,1,1,2,3,2,3,3,4,1,3,3,4,3,4,3,4,3,3,2
625,1,40,2,2,1,4,2,2,5,4,1,1,2,3,1,4,4,2,5,2,3,3,2,4,2,2,1,4,5
