"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.13,1,47,3,4,3,4,3,2,4,4,3,3,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4,4,4,2.8,3.14285714285714,3.625,3.85714285714286
5.13,1,48,1,2,2,4,1,1,2,5,1,1,1,5,1,1,3,5,2,2,1,2,5,1,5,1,2,4,3,1.2,1.28571428571429,2,4.71428571428571
5.13,1,42,2,4,3,4,1,3,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,3,4,4,4,1.8,2.71428571428571,3.875,3.42857142857143
5.13,1,39,2,2,2,4,1,4,4,4,2,2,3,4,1,3,2,4,2,3,2,2,4,2,3,2,2,4,4,1.6,2.57142857142857,2.625,3.85714285714286
5.13,2,37,2,2,2,4,2,2,4,4,2,2,4,5,2,4,4,2,2,4,4,2,4,4,4,2,2,4,4,2,2.85714285714286,3.25,3.85714285714286
5.13,2,29,3,3,2,3,4,3,2,4,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3,3,3.28571428571429,2.625,2.85714285714286
5.13,1,29,2,1,2,2,2,1,2,3,2,1,1,2,1,4,2,1,2,2,2,4,2,3,1,4,2,1,3,1.8,2.28571428571429,2.25,1.71428571428571
5.13,1,30,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,4.4,4.57142857142857,4.625,4.57142857142857
5.13,1,42,1,4,1,5,1,3,3,5,1,1,2,3,1,3,3,5,1,3,3,2,5,2,5,2,2,4,5,1,2.57142857142857,2.625,4.57142857142857
5.13,1,44,1,2,4,3,1,1,4,5,1,2,4,3,2,3,4,4,1,5,4,3,4,2,4,3,4,3,4,1.2,2.57142857142857,3.875,3.71428571428571
5.13,1,29,2,2,2,5,2,3,5,5,2,2,2,4,1,1,4,4,2,3,2,2,4,2,4,2,2,4,5,1.8,2.14285714285714,3,4.28571428571429
5.13,2,37,2,3,2,5,1,1,2,5,2,2,1,5,2,4,3,5,3,2,2,1,5,4,5,4,2,5,2,2,2.85714285714286,1.875,5
5.13,1,44,2,1,2,2,2,2,4,4,2,2,2,4,1,3,3,3,1,1,2,3,2,3,3,3,2,3,4,1.6,2.14285714285714,2.75,3
5.13,2,32,1,3,2,5,1,3,5,5,1,2,3,5,1,4,4,5,1,3,3,1,5,4,5,4,1,4,5,1,3.28571428571429,3,4.85714285714286
5.13,1,37,5,4,5,4,2,4,5,4,4,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,5,5,3.8,3.85714285714286,4.5,4
5.13,1,20,2,4,2,3,1,2,2,4,2,3,4,2,2,4,4,4,2,3,4,4,3,4,3,4,4,2,4,1.8,3.42857142857143,3.5,3
5.13,2,29,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,4,3.875,3.85714285714286
5.13,2,23,3,4,3,3,1,4,4,4,5,2,2,4,4,4,4,4,4,4,4,2,1,4,2,3,2,4,2,3.4,3.57142857142857,2.875,3.14285714285714
5.13,2,54,1,2,1,5,1,1,4,5,2,1,2,4,2,2,4,5,2,3,2,2,5,1,4,1,1,4,4,1.6,1.57142857142857,2.5,4.57142857142857
5.13,2,62,2,3,2,4,2,2,4,4,3,2,4,4,2,3,2,4,3,2,3,2,4,3,2,3,2,3,4,2.4,2.57142857142857,2.875,3.57142857142857
5.13,1,47,1,1,2,4,2,2,3,4,1,3,2,3,2,4,3,4,1,3,2,2,4,3,3,3,2,2,3,1.4,2.71428571428571,2.375,3.42857142857143
5.13,1,28,1,3,3,5,1,4,4,5,1,1,4,4,1,4,4,5,1,5,4,3,5,4,3,3,3,5,5,1,3.42857142857143,3.75,4.57142857142857
5.13,1,32,2,3,4,5,2,2,3,5,3,3,3,4,2,4,3,3,2,5,4,4,5,3,3,3,4,5,3,2.2,3.28571428571429,3.5,4.28571428571429
5.13,2,37,1,2,1,5,1,2,5,5,1,1,5,5,1,1,5,5,2,1,5,1,4,1,5,1,1,5,5,1.2,1.28571428571429,3.5,4.85714285714286
5.13,2,58,1,3,1,4,1,2,3,5,1,3,2,3,1,4,4,4,1,2,2,1,4,3,4,4,1,3,3,1,3,2.125,3.85714285714286
5.13,1,22,5,5,4,5,4,3,5,4,4,3,4,4,5,3,4,4,4,4,4,5,4,3,4,4,4,5,5,4.4,3.57142857142857,4.375,4.28571428571429
5.13,1,31,1,1,4,4,1,4,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,1,4,1,1,4,4,1.6,1.85714285714286,3.625,4
5.13,1,26,3,2,3,5,1,2,4,4,3,3,4,5,2,3,4,4,3,2,4,3,4,4,4,1,3,4,4,2.4,2.42857142857143,3.625,4.28571428571429
5.13,1,33,1,2,2,4,2,1,3,4,3,1,2,3,1,2,2,4,3,2,2,2,3,4,4,2,2,2,2,2,2,2.125,3.42857142857143
5.13,2,53,1,3,2,5,1,2,4,5,2,2,2,2,2,3,3,4,3,2,2,4,4,2,4,4,4,2,4,1.8,2.57142857142857,3.125,3.71428571428571
